TIME_INTERVAL,RESOURCE_NAME,AP_FLAG,SEC_FLAG,PSM_FLAG,DIPC_PRICE,RTD_PRICE,ADMIN_PRICE,SEC_PRICE,PSM_PRICE
08/01/2024,01CNCEP_DAP2,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01CNCEP_SS,N,N,N,4244.5018,4244.5018,5177.4591,4244.5018,4244.5018
08/01/2024,01CNCEP_T1L3,N,N,N,4244.5018,4244.5018,5177.4591,4244.5018,4244.5018
08/01/2024,01CNCEP_TEI,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01CN_TRELC1,N,N,N,4250.0108,4250.0108,5177.4591,4250.0108,4250.0108
08/01/2024,01CN_TRELC2,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01CONSOL_G01,N,N,N,4250.0108,4250.0108,5386.3986,4250.0108,4250.0108
08/01/2024,01CRUZD_MECO,N,N,N,4274.5896,4274.5896,5177.4591,4274.5896,4274.5896
08/01/2024,01CRUZD_SS,N,N,N,4272.047,4272.047,5177.4591,4272.047,4272.047
08/01/2024,01CRUZD_T2L1,N,N,N,4274.5896,4274.5896,5177.4591,4274.5896,4274.5896
08/01/2024,01CURIM_SS,N,N,N,4314.0004,4314.0004,5177.4591,4314.0004,4314.0004
08/01/2024,01CURIM_T1L1,N,N,N,4315.2717,4315.2717,5177.4591,4315.2717,4315.2717
08/01/2024,01CURIM_T1L2,N,N,N,4315.2717,4315.2717,5177.4591,4315.2717,4315.2717
08/01/2024,01CURSOL_G02,N,N,N,4315.2717,4315.2717,5493.6975,4315.2717,4315.2717
08/01/2024,01DALSOL_G01,N,N,N,4250.0108,4250.0108,5387.1052,4250.0108,4250.0108
08/01/2024,01DUHAT_SS,N,N,N,4293.2356,4293.2356,5177.4591,4293.2356,4293.2356
08/01/2024,01DUHAT_T1L1,N,N,N,4306.7963,4306.7963,5177.4591,4306.7963,4306.7963
08/01/2024,01EHVSJ_SS,N,N,N,4208.0574,4208.0574,5177.4591,4208.0574,4208.0574
08/01/2024,01EHVSM_SS,N,N,N,4161.8662,4161.8662,5177.4591,4161.8662,4161.8662
08/01/2024,01GAMU_BAT,N,N,N,4361.8867,4361.8867,5778.8503,4361.8867,4361.8867
08/01/2024,01GAMU_BATL,N,N,N,4361.8867,4361.8867,5177.4591,4361.8867,4361.8867
08/01/2024,01GAMU_SS,N,N,N,4355.1063,4355.1063,5177.4591,4355.1063,4355.1063
08/01/2024,01GAMU_T1L1,N,N,N,4361.8867,4361.8867,5177.4591,4361.8867,4361.8867
08/01/2024,01GAMU_T1L2,N,N,N,4355.5301,4355.5301,5177.4591,4355.5301,4355.5301
08/01/2024,01GFII_G01,N,N,N,4361.8867,4361.8867,5778.8503,4361.8867,4361.8867
08/01/2024,01GIFT_G01,N,N,N,4307.2201,4307.2201,5455.8431,4307.2201,4307.2201
08/01/2024,01GIFT_G02,N,N,N,4307.2201,4307.2201,5490.8636,4307.2201,4307.2201
08/01/2024,01GIGSOL_G01,N,N,N,4161.8662,4161.8662,5249.4807,4161.8662,4161.8662
08/01/2024,01GNPD_SS,N,N,N,4105.5045,4105.5045,5177.4591,4105.5045,4105.5045
08/01/2024,01GNPD_U01,N,N,N,4060.5847,4060.5847,5092.8018,4060.5847,4060.5847
08/01/2024,01GNPD_U02,N,N,N,4237.7214,4237.7214,5551.3526,4237.7214,4237.7214
08/01/2024,01GRGOLD_G01,N,N,N,4307.2201,4307.2201,6325.3168,4307.2201,4307.2201
08/01/2024,01HANJI_SS,N,N,N,4142.3727,4142.3727,5177.4591,4142.3727,4142.3727
08/01/2024,01HANJI_T1L1,N,N,N,4142.7965,4142.7965,5177.4591,4142.7965,4142.7965
08/01/2024,01HANJI_T2L1,N,N,N,4142.3727,4142.3727,5177.4591,4142.3727,4142.3727
08/01/2024,01HERMO_FBL,N,N,N,4126.2694,4126.2694,5177.4591,4126.2694,4126.2694
08/01/2024,01HERMO_SS,N,N,N,4121.6079,4121.6079,5177.4591,4121.6079,4121.6079
08/01/2024,01HERMO_T1L1,N,N,N,4126.2694,4126.2694,5177.4591,4126.2694,4126.2694
08/01/2024,01HERMO_T1L2,N,N,N,4126.2694,4126.2694,5177.4591,4126.2694,4126.2694
08/01/2024,01HERMO_T1L3,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
08/01/2024,01HERMO_T1L4,N,N,N,4126.2694,4126.2694,5177.4591,4126.2694,4126.2694
08/01/2024,01HYPGRN_G01,N,N,N,4306.7963,4306.7963,5392.5387,4306.7963,4306.7963
08/01/2024,01IBEC_G01,N,N,N,4292.388,4292.388,5705.8684,4292.388,4292.388
08/01/2024,01IBULAO_G01,N,N,N,4248.3157,4248.3157,5124.0668,4248.3157,4248.3157
08/01/2024,01IPOWER_G01,N,N,N,4307.2201,4307.2201,4931.7559,4307.2201,4307.2201
08/01/2024,01IPOWER_G02,N,N,N,4307.2201,4307.2201,5387.7111,4307.2201,4307.2201
08/01/2024,01KDAM_SS,N,N,N,4129.2358,4129.2358,5177.4591,4129.2358,4129.2358
08/01/2024,01LAMAO_BAT,N,N,N,4011.4271,4011.4271,2676.6837,4011.4271,4011.4271
08/01/2024,01LAMAO_SS,N,N,N,4011.8509,4011.8509,5177.4591,4011.8509,4011.8509
08/01/2024,01LAOAG_SS,N,N,N,4290.693,4290.693,5177.4591,4290.693,4290.693
08/01/2024,01LAOAG_T1L1,N,N,N,4294.5069,4294.5069,5177.4591,4294.5069,4294.5069
08/01/2024,01LAOAG_T1L2,N,N,N,4294.5069,4294.5069,5177.4591,4294.5069,4294.5069
08/01/2024,01LAOAG_T2L2,N,N,N,4294.0831,4294.0831,5177.4591,4294.0831,4294.0831
08/01/2024,01LAOSOL_G01,N,N,N,4111.8611,4111.8611,5205.6376,4111.8611,4111.8611
08/01/2024,01LAOSOL_SS,N,N,N,4111.8611,4111.8611,5177.4591,4111.8611,4111.8611
08/01/2024,01LASUER_U01,N,N,N,4355.5301,4355.5301,5765.8277,4355.5301,4355.5301
08/01/2024,01LATRI_SS,N,N,N,4187.7163,4187.7163,5177.4591,4187.7163,4187.7163
08/01/2024,01LATRI_T1L1,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LATRI_T2L1,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LATRI_T2L2,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LATRI_T2L3,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LAT_BENECO,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LAT_PHILEX,N,N,N,4189.8352,4189.8352,5177.4591,4189.8352,4189.8352
08/01/2024,01LBRDR_SS,N,N,N,4112.7087,4112.7087,5177.4591,4112.7087,4112.7087
08/01/2024,01LBR_CNPELC,N,N,N,4237.7214,4237.7214,5177.4591,4237.7214,4237.7214
